"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"sagemaker","predict",393,0,12,12,8,53,0,35.83,0.00,12,12,13,13,14,15,18,31,53,53,53,53
"None","Aggregated",393,0,12,12,8,53,0,35.83,0.00,12,12,13,13,14,15,18,31,53,53,53,53
