ml.t2.medium,0.07
ml.t2.large,0.14
ml.t2.xlarge,0.29
ml.t2.2xlarge,0.57
ml.m5.large,0.15
ml.m5.xlarge,0.30
ml.m5.2xlarge,0.60
ml.m5.4xlarge,1.20
ml.m5.12xlarge,3.60
ml.m5.24xlarge,7.19
ml.m4.xlarge,0.31
ml.m4.2xlarge,0.62
ml.m4.4xlarge,1.24
ml.m4.10xlarge,3.11
ml.m4.16xlarge,4.97
ml.m5d.xlarge,0.35
ml.m5d.large,0.18
ml.m5d.4xlarge,1.41
ml.m5d.2xlarge,0.71
ml.m5d.24xlarge,8.47
ml.m5d.12xlarge,4.24
ml.c5.large,0.13
ml.c5.xlarge,0.26
ml.c5.2xlarge,0.52
ml.c5.4xlarge,1.04
ml.c5.9xlarge,2.34
ml.c5.18xlarge,4.69
ml.c4.large,0.15
ml.c4.xlarge,0.31
ml.c4.2xlarge,0.61
ml.c4.4xlarge,1.23
ml.c4.8xlarge,2.45
ml.c5d.xlarge,0.30
ml.c5d.large,0.15
ml.c5d.9xlarge,2.67
ml.c5d.4xlarge,1.19
ml.c5d.2xlarge,0.59
ml.c5d.18xlarge,5.34
ml.r5.large,0.197
ml.r5.xlarge,0.395
ml.r5d.xlarge,0.395
ml.r5.2xlarge,0.79
ml.r5d.2xlarge,0.79
ml.r5.4xlarge,1.579
ml.r5d.4xlarge,1.579
ml.r5.12xlarge,4.738
ml.r5d.12xlarge,4.738
ml.r5.24xlarge,9.475
ml.r5d.24xlarge,9.475
ml.p2.xlarge,1.361
ml.p2.8xlarge,10.886
ml.p2.16xlarge,21.773
ml.p3.2xlarge,4.627
ml.p3.8xlarge,18.508
ml.p3.16xlarge,37.016
ml.g4dn.xlarge,0.821
ml.g4dn.2xlarge,1.174
ml.g4dn.4xlarge,1.879
ml.g4dn.8xlarge,3.397
ml.g4dn.12xlarge,6.107
ml.g4dn.16xlarge,6.793
ml.g5.xlarge,1.408
ml.g5.2xlarge,1.515
ml.g5.4xlarge,2.03
ml.g5.8xlarge,3.06
ml.g5.12xlarge,7.09
ml.g5.16xlarge,5.12
ml.g5.24xlarge,10.18
ml.g5.48xlarge,20.36
